Submission Date,Genere,Età,Ascolterò gli audio da,gt-1,male1-6,female1-3,vits-5,gt-2,vits-3,gt-6,female1-4,female1-5,female1-1,gt-3,vits-2,male1-2,male1-4,vits-6,gt-4,male1-3,male1-5,vits-4,female1-6,vits-1,male1-1,female1-2,gt-5,Submission ID
2022-11-21 17:46:40,Uomo,25-44,casse del PC,4,3,2,5,4,2,2,3,3,2,5,2,3,4,2,4,2,3,2,3,2,3,3,5,5448584006223178249
2022-11-21 18:12:48,Uomo,25-44,auricolari,5,5,4,4,5,2,5,5,3,3,5,3,5,4,3,4,4,4,3,3,3,4,4,5,5448599687818267860
2022-11-21 18:13:08,Uomo,18-24,auricolari,4,4,3,3,5,1,4,3,4,4,5,3,5,4,3,5,3,4,2,4,4,4,4,5,5448599876227955239
2022-11-21 18:17:14,Uomo,18-24,casse del PC,4,4,3,5,4,2,4,3,3,3,5,3,5,4,2,4,4,4,1,4,2,2,2,4,5448602345418247680
2022-11-21 18:21:51,Uomo,18-24,casse del PC,4,4,2,4,3,1,4,3,3,3,4,3,4,4,3,4,3,3,3,3,3,3,3,3,5448605116617808440
2022-11-21 18:46:43,Donna,25-44,auricolari,4,5,3,5,5,3,5,4,4,3,5,3,5,5,4,5,4,4,3,3,5,5,3,5,5448620035714553947
2022-11-21 18:52:31,Uomo,18-24,cuffie stereo,4,5,4,5,5,1,5,5,5,5,5,3,4,5,2,4,5,4,1,3,4,5,5,5,5448623515413085864
2022-11-21 19:35:24,Preferisco non rispondere,25-44,auricolari,4,4,2,3,4,2,3,2,3,3,4,3,3,4,3,4,3,4,2,2,3,3,3,4,5448649237117727825
2022-11-21 19:53:53,Uomo,25-44,auricolari,4,4,3,4,4,3,3,4,3,4,4,3,2,4,4,3,3,4,2,3,3,4,3,4,5448660331519503554
2022-11-21 20:51:23,Uomo,18-24,auricolari,5,5,4,5,5,3,5,4,4,3,4,4,4,4,5,4,4,5,3,4,4,4,3,3,5448694837123911489
2022-11-21 22:33:28,Uomo,25-44,cuffie stereo,3,3,3,2,4,2,3,3,3,3,5,4,3,2,2,3,2,2,3,2,3,3,3,4,5448756074109743951
2022-11-21 22:40:23,Donna,45-64,auricolari,5,5,4,5,5,3,5,4,4,4,5,4,5,5,4,5,5,5,3,4,4,5,3,5,5448760227411559879
2022-11-21 22:42:30,Uomo,18-24,dispositivo mobile (cellulare/tablet),5,4,3,3,5,2,4,4,4,3,5,2,5,5,4,5,5,4,3,4,4,4,4,5,5448761500313101683
2022-11-21 22:44:17,Uomo,45-64,cuffie stereo,4,5,3,4,5,4,5,4,5,4,5,3,4,5,4,5,4,4,3,4,5,5,4,5,5448762571713749375
2022-11-21 22:45:49,Uomo,18-24,auricolari,4,4,3,4,5,4,5,4,4,4,5,3,5,4,4,5,5,4,3,3,4,4,4,4,5448763496329684688
2022-11-21 23:17:32,Uomo,18-24,auricolari,3,3,3,4,3,3,5,4,4,4,5,3,5,5,3,5,2,3,2,4,3,5,2,5,5448782528212271745
2022-11-21 23:26:52,Uomo,18-24,auricolari,5,5,4,5,5,3,4,4,4,4,5,3,5,5,4,5,5,5,3,4,4,5,4,5,5448788126421358116
2022-11-22 09:47:45,Uomo,18-24,casse del PC,4,4,2,3,5,2,4,3,3,2,5,4,4,4,3,4,3,5,2,2,3,3,2,5,5449160658758381872
2022-11-22 10:29:54,Donna,18-24,dispositivo mobile (cellulare/tablet),4,5,4,4,5,2,5,4,4,3,5,5,5,5,5,5,5,4,5,5,5,4,4,5,5449185942712306940
2022-11-22 17:14:41,Uomo,18-24,dispositivo mobile (cellulare/tablet),4,3,2,3,4,1,4,2,3,3,5,1,5,3,3,4,3,4,3,4,3,2,3,4,5449428806718547431
2022-11-22 18:22:00,Uomo,18-24,dispositivo mobile (cellulare/tablet),5,5,3,5,5,3,5,3,3,2,5,3,4,5,4,4,4,5,4,3,3,3,1,5,5449469207302535308
2022-11-22 22:22:12,Uomo,18-24,dispositivo mobile (cellulare/tablet),4,4,3,3,5,2,4,4,3,3,5,3,4,3,2,4,3,4,3,4,3,3,3,5,5449613326214225533
2022-11-22 23:27:39,Uomo,18-24,dispositivo mobile (cellulare/tablet),4,5,3,4,5,2,5,4,5,4,5,3,5,5,4,4,5,5,3,3,4,5,4,5,5449652590926230561
2022-11-22 23:31:40,Uomo,18-24,dispositivo mobile (cellulare/tablet),5,4,3,5,5,2,5,1,3,2,5,3,1,1,3,3,3,3,3,3,3,3,3,3,5449655001717132181