Vs.	vostro
Dr.	Dottor
Dra.	Dottoressa
dr.	dottor
dra.	dottoressa
Gov.	governo
gov.	governo
pag.	pagina
Prof.	professor
prof.	professor
Sr.	signor
sr.	signor
Sra.	signora
sra.	signora
tel.	telefono
Mr.	mister
Mt.	monte
St.	santo
+	più
=	uguale
&	e
#	cancelletto
@	chiocciola
-	trattino
_	trattino basso
%	percento
*	asterisco
~	tilde
$	dollari
£	sterline
€	euro
₩	won
¥	yen
°	gradi
Σ	sigma
η	eta
κ	kappa
ω	omega
σ	sigma
α	alfa
etc.	eccetera
OK	ochei
Ok	ochei
ok	ochei
backstage	bechsteig
background	bechground
baby	bebi
break	brek
bodyguard	bodigard
briefing	brifing
budget	badget
account	accaunt
call center	coll senter
channel	ciannel
city	siti
cult	calt
cool	cuul
clown	claun
computer	compiuter
touch-screen	tach scriin
jeans	gins
database	databeis
deadline	dedlain
display	displei
detective	detectiv
deejay	digei
default	defolt
dossier	dossiè
evergreen	evergriin
fast-food	fast fud
food	fud
spread	spred
Spread	spred
feedback	fiidbac
fiction	ficscion
lady	ledi
fake	feic
gay	ghei
free	frii
happy	eppi
page	peig
junior	giunior
leader	lider
live	laiv
location	locascion
look	luuk
low	lou
magazine	magazin
made	meid
meeting	miiting
new	niu
news	nius
space	speis
performance	performans
privacy	praivasi
prime	praim
google	gugol
facebook	feisbuk
apple	appol
selfie	selfi
scoop	scup
show	shouv
machine	mascin
network	netuork
speaker	spicher
speech	spiich
stage	steig
team	tim
trailer	treiler
welfare	vuelfer
zoom	zum
cash	chesh
community commiuniti
cool	cul
follower	follovuer
mood	mud
nickname	nickneim
shopping	sciopping
black	blek
friday	fraidei
monday	mandei
tuesday	tiusdei
wednesday	vuensdei
thursday	thursdei
saturday	saturdei
sunday	sandei
day	dei
game	gheim
videogame	videogheim
wireless	vuairless
online	onlain
youtube	iutub
award	avuard
brand	brend
budget	badget
coffee	coffii
concept	consept
creator	crietor
copyright	copirait
copywriter	copiraiter
crew	criu
device	devais
email	imeil
e-mail	imeil
download	daunloud
escalation	escalescion
time	taim
full-time	full taim
intelligence	intelligens
nomination	nominascion
reception	recepscion
showroom	sciorum
upload	uploud
cowboy	cauboi
life-style	laif stail
style	stail
CEO si i o
smartphone	smartfon
software	softvuer
hardware	hardvuer
movie	muvi
sequel	siquel
prequel	priquel
playback	pleibac
boom	buum
boomer	buumer
eat	it
all	oll
you	iu
mission	miscion
see	sii
startup	startap
beach	bich
Backstage	bechsteig
Background	bechground
Baby	bebi
Break	brek
Bodyguard	bodigard
Briefing	brifing
Budget	badget
Account	accaunt
Call center	coll senter
Channel	ciannel
City	siti
Cult	calt
Cool	cuul
Clown	claun
Computer	compiuter
Touch-screen	tach scriin
Jeans	gins
Database	databeis
Deadline	dedlain
Display	displei
Detective	detectiv
Deejay	digei
Default	defolt
Dossier	dossiè
Evergreen	evergriin
Fast-food	fast fud
Food	fud
Feedback	fiidbac
Fiction	ficscion
Lady	ledi
Fake	feic
Gay	ghei
pride	praid
Pride	praid
Free	frii
Happy	eppi
Page	peig
Junior	giunior
Leader	lider
Live	laiv
Location	locascion
Look	luuk
Low	lou
Magazine	magazin
Made	meid
Meeting	miiting
New	niu
News	nius
Space	speis
Performance	performans
Privacy	praivasi
Prime	praim
Google	gugol
Facebook	feisbuk
Apple	appol
Selfie	selfi
Scoop	scup
Show	shouv
Machine	mascin
Network	netuork
Speaker	spicher
Speech	spiich
Stage	steig
Team	tim
Trailer	treiler
Welfare	vuelfer
Zoom	zum
Cash	chesh
Community commiuniti
Cool	cul
Follower	follovuer
Mood	mud
Nickname	nickneim
Shopping	sciopping
Black	blek
Friday	fraidei
Monday	mandei
Tuesday	tiusdei
Wednesday	vuensdei
Thursday	thursdei
Saturday	saturdei
Sunday	sandei
Day	dei
Game	gheim
Videogame	videogheim
Wireless	uairless
Online	onlain
Youtube	iutub
Award	avuard
Brand	brend
Budget	badget
Coffee	coffii
Concept	consept
Creator	crietor
Copyright	copirait
Copywriter	copiraiter
Crew	criu
Device	devais
Email	imeil
E-mail	imeil
Download	daunloud
Escalation	escalescion
Time	taim
Full-time	full taim
Intelligence	intelligens
Nomination	nominascion
Reception	recepscion
Showroom	sciorum
Upload	uploud
Cowboy	cauboi
Life-style	laif stail
Style	stail
CEO si i o
Smartphone	smartfon
Software	softvuer
Hardware	hardvuer
Movie	muvi
Sequel	siquel
Prequel	priquel
Playback	pleibac
Boom	buum
Boomer	buumer
Eat	it
All	oll
You	iu
Mission	miscion
See	sii
Startup	startap
Beach	bich
the	de
The	de
sex	secs
Sex	secs
ex	ecs
Sms	esse emme esse
sms	esse emme esse
SMS	esse emme esse